"AtcoCode","Sequence","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1500FLX1497",1,"U",598346,202622,"","",,"new"
"1500FLX1497",2,"U",599557,202511,"","",,"new"
"1500FLX1497",3,"U",599835,201277,"","",,"new"
"1500FLX1497",4,"U",598539,201270,"","",,"new"
"1500FLX1498",1,"U",596818,202404,"","",,"new"
"1500FLX1498",2,"U",599693,202927,"","",,"new"
"1500FLX1498",3,"U",600021,201115,"","",,"new"
"1500FLX1498",4,"U",597482,200841,"","",,"new"
"1500FLX1498",5,"U",596889,201037,"","",,"new"
"1500FLX1499",1,"U",590300,199978,"","",,"new"
"1500FLX1499",2,"U",592663,200585,"","",,"new"
"1500FLX1499",3,"U",592740,198019,"","",,"new"
"1500FLX1499",4,"U",590990,197299,"","",,"new"
"1500FLX1499",5,"U",589889,197418,"","",,"new"
"1500FLX1500",1,"U",589936,202697,"","",,"new"
"1500FLX1500",2,"U",592540,202653,"","",,"new"
"1500FLX1500",3,"U",592458,201054,"","",,"new"
"1500FLX1500",4,"U",590886,201027,"","",,"new"
"1500FLX1500",5,"U",589930,201807,"","",,"new"
"1500FLX1501",1,"U",583537,200162,"","",,"new"
"1500FLX1501",2,"U",584124,199545,"","",,"new"
"1500FLX1501",3,"U",583303,199125,"","",,"new"
"1500FLX1501",4,"U",582926,199261,"","",,"new"
"1500FLX1501",5,"U",582821,199594,"","",,"new"
"1500FLX1502",1,"U",582932,200736,"","",,"new"
"1500FLX1502",2,"U",584012,201415,"","",,"new"
"1500FLX1502",3,"U",586364,201255,"","",,"new"
"1500FLX1502",4,"U",586408,199606,"","",,"new"
"1500FLX1502",5,"U",585235,199606,"","",,"new"
"1500FLX1502",6,"U",583766,199964,"","",,"new"
"1500FLX1503",1,"U",582309,202523,"","",,"new"
"1500FLX1503",2,"U",583198,202807,"","",,"new"
"1500FLX1503",3,"U",584969,202869,"","",,"new"
"1500FLX1503",4,"U",585111,201825,"","",,"new"
